n,character,pinyin
1153,周末,zhōumò
1154,周围,zhōuwéi
1155,猪,zhū
1156,逐渐,zhújiàn
1157,主动,zhǔdòng
1158,主要,zhǔyào
1159,主意,zhǔyi
1160,住,zhù
1161,祝,zhù
1162,祝贺,zhùhè
1163,著名,zhùmíng
1164,注意,zhùyì
1165,专门,zhuānmén
1166,专业,zhuānyè
1167,赚,zhuàn
1168,撞,zhuàng
1169,准备,zhǔnbèi
1170,准确,zhǔnquè
1171,准时,zhǔnshí
1172,桌子,zhuōzi
1173,仔细,zǐxì
1174,字,zì
1175,字典,zìdiǎn
1176,自己,zìjǐ
1177,自然,zìrán
1178,自行车,zìxíngchē
1179,总结,zǒngjié
1180,总是,zǒngshì
1181,走,zǒu
1182,租,zū
1183,组成,zǔchéng
1184,组织,zǔzhī
1185,嘴,zuǐ
1186,最,zuì
1187,最好,zuìhǎo
1188,最后,zuìhòu
1189,最近,zuìjìn
1190,尊重,zūnzhòng
1191,昨天,zuótiān
1192,左边,zuǒbian
1193,坐,zuò
1194,做,zuò
1195,做生意,zuò shēngyi
1196,座,zuò
1197,座位,zuòwèi
1198,作业,zuòyè
1199,作用,zuòyòng
1200,作者,zuòzhě
